start	end	text
31	4050	No Jacob, no Chris.
5093	8235	As far as...
9616	11007	Tickets go.
11571	14192	It's been fairly quiet.
14172	18394	You've been talking to Jordan on some stuff.
18374	23119	And then...
23723	28620	Blake, he's been working on a few issues with the cabinet order side of things.
29630	35488	And then I guess, Andrea, I don't know if they filled you in or not, but we had a
35468	40821	Issue with the customer portal emails.
41037	41699	Yeah.
42809	45043	Yeah, I've been following that.
45063	46915	Molly's been keeping me posted.
46935	47740	Okay, cool.
48277	53072	Yeah, it sounded like it was just something that Cody did, but I think he's got it fixed now.
53677	58202	He noticed this morning that they weren't going through again.
58773	64497	pushed him out and then I guess made another change on the security side to
64477	66010	allowed those to go through.
66051	68310	It was quarantining.
68290	72867	every email that was coming in to...
73538	78351	Or is it orders at www.inc.com?
78331	82587	I don't know if it was all emails or not.
83461	87565	So there's like 90...
88253	92003	They were just kind of sitting out there waiting to get picked up.
91983	94710	I heard you mention spoofing, is that?
94751	96306	Yeah, that's what it was.
96286	99310	It was labeling them as, it was spoof.
99290	104102	I mean are we like changing the to or the from address?
104993	110188	Well, you can spoof emails and you can fake what your address is.
110268	110852	Right.
110832	112607	I guess that's what it thinks they are.
112627	115712	I don't know if we're doing that or not.
116047	118104	I think it probably thinks that they're spoofing.
118830	121028	Oh, them coming into us.
121008	121696	That's what I would think.
121717	123559	Cause he was, he was,
124130	127795	supposed to, I guess, whitelist a
127775	131052	schism email address that it was using
131032	136890	And he ended up whitelisting anything that was at www.com.
136870	140856	So that's what threw it off originally.
140836	142336	I don't know.
142357	143370	It doesn't really...
144312	146674	Why would it throw it off if you're whitelisting it?
146917	147825	I don't know.
147805	153816	it doesn't make any sense so is it the orders at wwe yeah email that's the one that was marked as
153796	155369	being spooked?
155389	157043	I don't think so.
157063	158575	I think it was just this.
158555	160625	Yeah, the customer emails that were coming in.
161489	164042	But they're coming in from
164022	165932	Customer portal.
167195	170937	So that would be coming in from, I guess, one of our internal emails.
171239	172345	Right, Andrew?
172325	174252	Like when they create an order?
174890	179230	That does make sense because basically
179210	185220	The way the ticketing API works, it basically is scooping the emails
185200	188764	I believe because it's getting
188744	193455	Basically, it knows who they are,
193435	197677	and what their email address is, but they're not actually sending them email.
197697	199446	Right, that's the program that's sending it.
199426	203158	So we're basically seeing who it's from.
203138	206601	If we send an email, we're putting their address
206581	210415	So it is spoofing, but it's a legitimate spoofing.
211205	213283	That's why they call it spoofing.
213719	216178	I had to look it up.
216198	217266	It's like a hoax.
217415	218987	It is, that's exactly what it is.
219168	223037	I used to do it all the time.
223287	226834	for work and for play.
226814	231458	send my brother or my sister emails from
232113	235862	Ed McMahon, you want a million dollars?
238795	243304	You see that all the time on emails and seeing your spam folder all the time.
243284	248755	And you go and you hover over the address that it says it's from and it's something else.
251114	254982	It's kind of looking for it again because after you pushed out the
254962	257985	There was like 20 or so sitting in quarantine this morning.
257965	261342	and then he made another change and it wasn't performable.
261363	263976	So I think it's fixed.
263956	264669	Thank you.
266757	271553	Yeah, we've been working on a few issues with
271533	275805	Cameron Norder trying to diagnose some oddball.
276646	280969	issues that they've been having.
281692	284715	And then the one thing I really have to get
284695	286674	I will be out tomorrow.
286957	289238	I'm not having my procedure tomorrow, but
289690	293912	Since I'm not having my procedure, I'm gonna do what I was originally planning,
295732	296917	I'm not going.
299731	300837	place I was going.
302003	305742	I'm gonna take the day and just spend it with the littles.
305722	305806	Thank you.
306953	312745	But I do want to try and get that email out if you can.
313130	317200	And I think all we need to really do on that one
317720	320743	We need to look into the rehire.
320723	323899	just to make sure that it's putting in the right date there.
323879	327949	If they're a rehire, make sure that it's putting the rehire date in.
327929	330278	as the start date or whatever.
330730	335560	And then everything else, I think we just need to make sure that it's
335540	338952	that last export date is being set.
338932	344672	Which that works differently for just not like how it is with the medical where we just set that date and
344652	350089	We'll have to create a bunch of dummy records as if they've been exported.
350069	354105	because they have been exporting periodically, but like the
354997	357733	The last day that I sent one of those change files,
358017	362070	is I assume what we want that day to be set through.
362050	366238	I can't remember if we deleted the export from that or if we just marked it.
366218	367424	has not finalized it.
367444	372229	If the record's still there, all we gotta do is just set that as the most recent one, and then we'll be good.
372209	375175	But that one was an actual export.
375236	376023	Oh, yeah, that's right.
376043	376971	Yeah, that was the script.
376951	379329	Yeah, so we'll probably have to still insert the records.
379651	382472	We can look back and see what the records show.
382452	384785	because I know what date that was.
384805	387298	It was like July 8th or something.
387278	391483	So we can look back and see what the closest line is if we want to do that.
392240	394318	Because I think that'll...
394957	399178	that'll clean up their discrepancies.
400002	403752	In my mind, they weren't using this to compare to production at all.
403732	409270	they were just comparing it to the format like is are we getting everything we need
409250	415125	and then we say, okay, it's good, then we start in production.
415105	418197	they were actually comparing it to production.
