start	end	text
1364	2279	Thank you.
16028	18951	Are you entirely able to use production materials or something?
34625	37648	Conrad needs to hurry back and get that clock adjusted again.
38715	40146	Yeah, pull off.
42978	44533	Just a few minutes.
49998	52718	Ben was trying to set the wind of church a little fast.
53626	56920	So the pastor gets done quicker.
58132	60075	Especially during football season.
61658	66893	Are you referring to the clock that is inside the clock text?
67413	69559	That is all too.
69580	69701	Is it?
69863	69964	Yeah.
71885	72850	It is.
73252	73553	Kind of.
73875	76046	No, I mean the wall clock.
76066	77895	The clock text is a little bit off.
77875	81642	Just a bad day.
83410	85607	There's a big gap between five and six.
89165	92188	Maybe we should have bought a better cloth.
92168	94066	I think they're going for the gimmick.
94167	96508	Look at the word clock at the top middle.
96488	101098	Yeah, it is like there's a bump between L.O.C.
101078	104661	Yeah, do you know those projections as we sit on the table?
104681	105587	It's up there
108672	110726	Hi folks, I'm sorry I'm a little late.
110988	112962	You are not late compared to our cloud.
112942	116624	Just discussing that.
116644	117670	Right on time.
117650	121180	Hello Krishna, everyone.
121160	122994	Krishna, welcome folks.
123739	125472	Nice to meet you.
125915	126681	What?
126661	130815	So this meeting is basically just
130795	136806	Introducing everybody, kind of getting our feet wet on what we're doing and what we want to do.
136786	141700	and yeah just go from there see where it takes us
141680	146509	So Krishna, just to give you some
146489	147675	Introductions to us.
148841	149746	You already know Chris.
150811	151977	Men on the yellow.
151957	154416	I'm Adam.
154496	155363	You've already met me.
155383	157056	You haven't met me in person yet.
157036	160836	So I hope...
160816	164886	lead the development team here in the CAPE office.
164866	169257	and we've got a few remote users also.
169237	172615	Ethan is our
172595	176766	leader of the finance team, which is the one that we're
176746	179770	kinda gonna get our feet wet with you on.
179750	185406	And then Ethan is leader of Psy.
185386	190182	And here, and then we got Matt and Travis both remote.
190634	192696	So they're also on 8-15.
193013	196881	And then also in the room I've got Scott here.
196861	200661	leading our triage team slash
200641	204964	IT support guy for any tickets that come in and we're
204944	207159	Kind of building that as we go also.
207381	210482	That's something that we just started.
210462	216287	And then Chris Kelly at the end of the table is leading our automation
216267	218565	testing team.
218887	219532	Okay.
219552	221265	And then along with him we've got
221245	222926	Mason?
222946	224809	Mason is on his team.
224789	229585	he's gonna start focusing on the finance guys
229565	234563	programs and then Matt Hendricks on the call also is
234543	239035	the leader of our manual testing team.
239015	244857	Oh, him and Chris work heavily together on the testing side of things.
244837	246776	Hello.
247463	249058	Hello, guys.
249038	251591	I have to apologize in advance if I ask again.
251611	252757	No, no problem.
253039	255049	We make notes of all the names, but
255029	256740	And what do you guys do?
256760	259538	But if there's something written up somewhere that you have
259518	261287	We can write that up for you.
262212	265107	Yeah, we can do that.
265542	268735	Krishna, do you want to say anything about yourself at all?
268715	271992	I'll just quickly introduce myself from my background.
271972	277780	I started out my career as a software developer way back at Oracle.
277760	281492	And then that was right after grad school.
282198	283333	through science masters.
283414	285441	And then I decided I was going to work at Oracle.
285421	289204	It was a great place to be and practice all the software.
289184	293946	back then, you know, practices that had learned in grad school and all that.
294398	297017	After that, I decided I wanted to work at
297301	302687	small medium-sized companies and I have since then worked at many different companies
302667	308678	I also got an MBA and moved away from software engineering software development.
308658	312947	into more the client side of the business where
312927	317993	You talk to customers, you talk to users of your software,
318293	322195	figure out what the pain points are, and then you
322175	325975	then I would go talk to the engineering teams and say,
325955	327409	the requirements.
327450	329772	That's broadly speaking what I do.
329752	334345	But there's a lot more of that to the product function.
334325	339171	The thing that is most relevant here is
339151	344520	Since about 2013, I have been involved in
344500	349515	Agile teams and agile means
349782	351238	many different things to do.
351622	356569	every company that tries to practice it.
356549	359573	And there's many variations of
359553	365344	There is no correct agile leverage from what I have seen in my
365324	368567	14 years of doing this.
368547	371571	But it's really something that, you know,
371551	375402	you adopt and it works for your
375382	379485	your attorney team, as well as your clients that you serve.
379465	381860	finance in a company, one client.
382061	385341	There's many other clients in your company.
385861	390387	So, but the key elements of this is trying to,
390367	393390	For all our additional conversations,
393370	398790	that we had last time, it seems like there's a little frustration in the minds of
398770	404663	in terms of what they are getting versus what they thought they asked
404643	407579	There's a gap, it seems like.
408544	410333	And what I've...
410313	413539	experience prior.
413519	416830	teams is the product function.
416810	421943	the product manager, my role is really to be the go between you guys
421923	427731	and the clients and what that means is I am talking to these folks, the clients,
427711	431528	on a fairly regular basis, and regular is the key thing.
431508	434532	You know, regularly I go talk to them,
434512	438498	get a sense of, hey, what are your pain points with what you're using right now?
438518	439645	What's not working?
439625	440737	What is working?
441323	443020	What do we need to change, right?
443000	446682	And I translate those conversations into
448163	451592	Agile Speak, which would work for you guys.
451572	453380	What are the user personas?
453420	454505	What are the epics?
454685	457397	What are the user stories in these epics?
457833	459642	What are the examples criteria?
460124	463843	Can you put together a UX and a markup of what
463823	465520	this thing should look like.
466369	468147	And then we
468127	471150	work together, you guys in the room and myself,
471130	476128	and we put them back to develop what these guys want.
476108	477839	And then, what?
478323	481866	The word regular will keep coming up, which is really key.
481846	486692	that gap between what they think they asked for and what they got.
486672	491029	That gap should not exist and it really didn't.
491009	496885	keep coming up from time to time because people, if you have a conversation on day one,
496865	502875	And on day 45, you deliver something to these clients
502855	506554	that's a lot of days that have passed between
506534	509946	what they thought they wanted and what they think they're getting.
509926	513207	So that gap needs to reduce.
513227	515059	So what I mean by that is, okay,
515393	520847	If you do sprints, is it a two-week sprint, is it a week sprint, whatever it is,
521232	526669	coming up with an iterative development process where
526649	532660	Even if you haven't completely delivered all of the bells and whistles, all the buttons in the UI,
532640	535731	you at least give them
536251	540017	a UI that has the
539997	543291	major elements in it so that they can start looking at it
543271	545630	after the first week, after the second week, whatever it is.
545872	547324	And I'm talking to them.
547743	550800	you know every week let's say uh and so
550780	555053	the best way to think of that is iterative versus incremental.
555033	559457	This is a classic, and if you Google it, you'll find it.
559437	564368	the Mona Lisa painting, there's two ways to develop the Mona Lisa painting.
564348	569397	One is the iterative process where you draw an outline of the entire
569377	571072	Mona Lisa in the painting.
571819	573514	And then that's the first
573494	576518	from this brick, first brick.
576498	580146	And then every subsequent sprint you start to fill it out.
580126	585057	You put more colors in paintings and color the hair.
585037	586452	the face and all that stuff.
587200	588938	But the client
589357	594912	sees that initial drop from the first sprint and they're like,
594892	600042	There's no gap between what they thought they wanted versus what they're starting to get.
600022	605509	And so in each subsequent sprint, you iterate through and you start building out the painting.
605489	609103	And at the end of it, they see what they've got.
609083	610551	Now, that's one approach.
610571	615094	The other approach is IKRA metal where you tape the top left corner of the Mona Lisa paint
615074	617997	You fill out all the details of, you know,
618213	622232	her face, or maybe just the face, right, in the first break.
622212	625708	but none of the other parts of the painting.
625688	630518	And then you show that to the client and they're like, wait a minute, this is not what I asked for.
630498	632673	So the gap starts to develop, right?
632874	636357	So that's my long-winded way of saying, you know,
636337	640592	My role here will be to help you guys get some kind of a process
640572	645874	where we start to do an iterative process
645854	651865	delivery to these clients so that there is no gap or if there is a gap it is fairly quickly
651845	654123	fixed block.
654143	655493	That's the point.
655473	661433	from the initial conversation that may seem like the pain point in the process, but I don't know.
661413	666073	That's my value add here, so I'll stop talking.
666053	671912	Any thoughts or any reactions?
671892	677295	That sounds great, honestly.
677275	679969	We could definitely use some more structure like that.
680411	683286	I think the thing that I'm curious about most
683266	687302	is seeing how this will fit into our team
687282	693073	I think a lot of the teams here deal with this but like I think for ours it's
693053	696398	Worst is that we support, I guess,
696378	700566	probably like three or four main groups of users which I guess
700546	706371	about the finance side of things, but we also deal with some of the HR stuff and sales.
706351	710910	I'm just kind of curious how that's going to look with like sprints and stuff whenever we have
710890	714268	Lots of tiny little things to do on all these different apps and different
714248	717795	times versus working on one big feature or epic at a time?
717775	719569	I'm kind of curious, I guess.
720194	722875	So I think we want to start small.
722855	728207	So what I mean by that is if right now you're saying the finance and accounting team is
728187	730097	that client is
730634	735953	the most hopeful, let's say, or the one that's had, that's been most...
736321	738889	make the most noise, let's start with acting, right?
739072	744137	So let's focus on what their needs are or what their
744117	749908	points are and focus on trying to
749888	754988	internally our process, setting it up so that we can
754968	759021	you know, reduce this gap between what they think they ask for
759001	761427	when they get it, what they think they ask for.
761629	762902	That gap needs to
762882	766041	come back and we need to get rid of that gap.
766021	771964	And the way we're gonna do that is, well, I'm jumping ahead, I have to dive into your process and all that stuff.
771944	775192	we need to get that gap reduced.
775212	776402	So let's start with that.
776382	779442	And yes, you're serving more than one client.
779543	781093	I'm going to just use the word client.
781073	783245	you know, user groups.
784311	786966	And then once we have this working
786946	792957	prove this as a proof point, this process that we're putting in place, it works.
792937	794047	this client.
794107	797496	Now let's then go find the next client.
797476	799591	and then refine.
799752	803318	And so starting small would be the best way to do this.
803298	808414	And you'll find that we have to, each iteration, I don't know
809407	812937	So every sprint, we have a retrospective.
812917	815940	We stop and say, hey, what worked?
815920	819241	what did not work, what needs to change, right?
819342	820328	And what do we,
820865	825188	There's three questions we ask, and so we ask those questions.
825168	830166	of ourselves and then go around the room and just
830956	835212	take that feedback and tweak the process and go to the next spring.
835192	838090	that is going to be useful.
838170	841168	And so once we have something working for one
841148	844189	client, then we go off and
844169	848728	work with the next team, next team, next team.
848708	849923	roll this out.
850875	852171	In terms of
852151	854226	of the product management function.
854306	856542	I've mentioned this to Christopher as well.
856522	860558	I am one person and I have only so many hours with you guys.
860538	865924	We may bring in more faults, but let's first prove this as a process that it works.
866292	871780	Then we can look at rolling this out to other teams and other clients.
871760	873279	Does that make sense?
873542	874817	Yeah.
874797	880048	And just to add to that, something that we're keeping in mind as a
880028	885178	an overall team, I say team,
885158	889600	I guess is better used for that.
889580	893346	The team structure is and has been
893326	897345	the way it has been for I don't know how many years now, four or five?
897325	901446	We're open-minded on if
901426	905310	the team structure the way it is currently
905290	909495	housed to where we have roughly four
909475	912499	I guess three or four guys on each team.
912479	915739	that will work on this group of applications.
915719	920802	If it makes more sense to do it a different way, whether it's
920782	924058	just blowing it all up and not have teams and just.
924038	929323	kind of give a project to a certain amount of people or developers or
929303	934015	it down into smaller teams to where they're focused more on certain things.
933995	939550	We're open to anything like that, so just keep that in your mind if we're
939530	944022	if we get into talking about these things and you notice that
944002	947363	like the ones that are more vocal,
947343	953252	are always going to be the ones that get their applications worked on the most.
953232	956652	think about it a little bit different on the team side.
956873	957758	Absolutely.
957738	963040	the advantage of just doing this small approach is
963712	968406	you've got an existing, the analogy I use is,
968386	972298	You're on a cruise in the middle of the Pacific.
972318	973367	You're on a ship.
973347	978987	and you're trying to change an engine part because there's something not working with.
979743	982638	But the ship needs to keep going.
982920	984488	So you cannot just stop the ship
984468	986705	replace the entire engine and then start again.
986766	988842	We have to keep cruising.
989142	995085	uh so you take a small part of that engine you replace it and then hopefully that
995065	1000587	satisfies the people on deck that were complaining about that engine park.
1000567	1005919	You don't want to have to stop everything or start plugging things willy-nilly
1005899	1008359	where everybody on desktop is complaining.
1008380	1010880	So you don't want all your client teams
1010860	1012996	getting really mad at you.
1013722	1016483	Let's just take the really small piece.
1016463	1019824	and replace that engine in
1019804	1022039	the middle of your cruise, so.
1022825	1024617	Yeah, and that makes it easy.
1024597	1029595	But but yeah, thank you that you can stand back once we have
1029575	1035585	one or two or three clients happy with whatever process we end up with
1035565	1040479	then we can step back and say, is there a more efficient way to deliver
1040459	1045204	what these clients are asking for and maybe the
1045184	1050351	arrange the teams or broader process, but that's.
1050533	1053073	Got a zest, you know, it's like small.
1053094	1053658	That works.
1053638	1059649	Just going through some of the lists that you sent out in the meeting invite.
1059629	1065353	We are getting you an account set up and a VM to remote into to kind of look at
1065333	1069842	everything we have, so that'll be shortcoming.
1070767	1074988	The next one was walk through existing functionality.
1075069	1076777	I don't know how deep I want to get into that.
1076757	1078345	Go ahead.
1079008	1082042	Yeah, I think this may have to wait for a little bit.
