start	end	text
1381	2279	Thank you.
16028	19120	to be highly able and hidden's production potentials or something.
34642	37646	Conrad needs to hurry back and get that clock congested again.
38856	40146	Yeah, pull off.
42944	44533	Just a few minutes.
49981	52735	We always try and set the one in church a little fast.
53626	56852	So the pastor gets done quicker.
58132	60075	Especially during football season.
61658	66893	Are you referring to the clock that is inside the clock text?
67413	68405	That is all too.
69073	69195	Is it?
69458	69964	Yeah.
71885	72830	It is.
73252	73553	Kind of.
73895	76046	No, I mean, the wall clock.
76066	77895	The clock text is a little bit off.
77875	81692	Just a bad bit.
83393	85607	There's a big gap between five and six.
89165	92188	Maybe we should have bought a better clock.
92168	94066	I think they're going for the gimmick.
94167	96508	Look at the word clock at the top middle.
96488	101115	Yeah, it is like there's a bump between L.O.C.
101095	105587	Yeah, just get rid of this projector as we sit on the table and it just shoots up there.
108672	110726	Hi folks, I'm sorry I'm a little late.
111049	112962	You are not late compared to our cloud.
112942	116483	Just discussing that.
116644	117670	Right on time.
117650	121197	Hello Krishna, everyone?
121177	123052	Krishna, folks.
123738	125492	Nice to meet you.
125915	126681	What?
126661	130815	So this meeting is basically just
130795	136806	Introducing everybody, kind of getting our feet wet on what we're doing and what we want to do.
136786	141700	and yeah just go from there see where it takes us
141680	146509	So Krishna, just to give you some
146489	147675	Introductions to us.
148700	149746	You already know Chris.
150811	151977	Men on the yellow.
151957	154416	I'm Adam.
154496	155343	You've already met me.
155403	157056	You haven't met me in person yet.
157036	160836	So I hope...
160816	164869	lead the development team here in the CAPE office.
164849	169257	and we got a few remote users also.
169237	172615	Ethan is our
172595	176766	leader of the finance team, which is the one that we're
176746	179770	kinda gonna get our feet wet with you on.
179750	185406	And then Ethan is leader of PSY.
185386	190114	And here, and then we got Matt and Travis both remote.
190685	192612	So they're also on E15.
193081	196864	And then also in the room, I've got Scott here.
196844	200627	leading our triage team slash
200607	204998	IT support guy for any tickets that come in and we're
204978	207134	Kind of building that as we go also.
207174	210499	That's something that we just started.
210479	216287	And then Chris Kelly at the end of the table is leading our automation
216267	218566	testing team.
218889	219534	Okay.
219554	221248	And then along with him we've got
221228	222928	Mason?
222948	224809	Mason is on his team.
224789	229568	He's going to start focusing on the finance guy's
229548	234563	programs and then Matt Hendricks on the call also is
234543	239052	the leader of our manual testing team.
239032	244857	So, him and Chris work heavily together on the testing side of things.
244837	249058	So, welcome to all these guys.
249038	251591	I have to apologize in advance if I ask again.
251611	255049	We make notes of all the names, but
255029	256599	And what do you guys do?
