start	end	text
301	3105	YESTERDAY AND IT'S KIND OF TODAY TALKING TO YOU GUYS
3338	6852	where we put everything that we think will fit into
9363	10935	in the spring.
11217	14783	And so we had two weeks actually developing the spring
14763	17871	and then we'll have one week afterwards where
17851	23254	you know, testing is going to be hammering it and we'll be going back and forth with them to make sure everything's right.
23234	29093	and then once that one week hard experience over we'll release it um and so
29073	33953	The way it works is, I think, which
34507	40062	I think there will be some overlap between the hardening and the next sprint.
40042	42377	Like we might go ahead and start working on the next sprint.
42477	44550	The vial testing is running through everything.
44530	48718	But this is like the timelines that he has for the ones that we're currently
48698	50794	working on or, you know, getting ready.
50854	53595	So starting Monday is when this next spring
53575	57763	We'll start, we got the two weeks, and then they'll end on October 3rd.
57743	61510	So I guess then hardening starts and then that will be done.
62992	68108	October 10th and then release and then we'll start the next sprint.
68088	73828	And so then this is everything that we had deemed
73808	77490	would fit into this sprint.
77470	79210	I see you have a question on here.
79230	81152	I just wanted to check with you guys, like is this list
81132	82358	Does this work for you guys?
82378	83563	Is this like the priority?
83945	86738	So what you would like to see go into this and if not,
86718	92728	We can kind of look at it again I guess and see if we need to make any changes or not.
92708	98719	I think we got that ready if you want to jump into that now
98699	100327	wait till after the slide.
100347	101915	You know, I think that this is pretty much it.
101935	104507	Like this is the reason I had some.
106613	111966	Okay, so the number one thing that we had down was just...
111946	117163	I'm 100% sure we're good on all of the fidelity stuff.
118848	121686	okay we're going to send the census this week
121987	125828	I think we're working on the money file, should have all that ready.
125909	127980	We just wanna make sure we have everything prepared
127960	129272	Yeah.
129293	132604	And so we- 9 of 26, right, is the-
132584	134233	is the last transmission.
134393	138595	It's going to be this week today or tomorrow.
138575	143488	Yeah, and we're kind of allotting for time for that during all this.
143468	148213	So we made sure we left some hours available for if there's any
148193	151268	high priority issues that come up.
151248	155470	and stuff like that, generating these census files if there's any changes needed.
155450	161308	we have like kind of some time buffer within this to do all that stuff okay so that was number one
162166	167535	Number two, it says DevTicket 1103.
167515	171754	I need that deployed to make 926.
172966	174930	Which one was that?
175011	176226	Second from the bottom.
176206	181710	Yeah.
181690	185457	Yeah, so that actually,
185437	188779	That's probably a five-minute deal.
188799	190873	That's probably a... Yeah, that one...
190853	192325	Yeah, that one.
193520	195498	shouldn't be to trigger a problem.
195922	197961	David, can you say you needed that virus?
197941	201775	because that Monday is like,
202632	206247	that Monday would be a payroll cycle that's applicable to this.
206227	209993	You know, I'm just going to try to look back and I needed to look forward.
209973	213756	You need to buy 926.
218697	221248	Yeah, 926.
222646	227053	Which I guess, so that's before the food plan release of everything.
227033	232707	I don't know, we can take a look, maybe see if we can just like throw that in with the payroll release that's
232687	236520	And that's the only payroll issue out there, right?
236500	237809	Yeah.
238010	242038	When do we have to switch over payroll to the 401k separate?
242018	245734	When's the first date you're going to generate a money file for that?
245714	249987	The first money file is October 2nd.
250810	254998	Okay, I'm trying to think of a way that we could...
254978	256207	We'll have those together.
256248	258323	But we need
259147	265157	So that means the 29th, whenever I run payroll, I need the fidelity file on there.
265137	269781	You know, whenever I create that money file, it's got to read fidelity.
270132	272515	So what is it, September 29th?
274216	276738	Okay, so what day would you be running payroll?
276758	277746	September 29th?
277726	281661	And then we're uploading the contributions
281641	284344	on the second with that Michael Koshner.
284881	288327	Okay, so 29.
289167	294452	But the 29th, whenever I run payroll, I need that to refill 20 months.
296862	301101	The 22nd is the last one that we are uploading to you.
301756	304948	You came from here.
305249	308486	I guess I'm a little confused.
308506	310315	So in the 9th, 26th then,
311527	314042	The 926, so that's on Friday.
314083	315833	So that will be actually the 926.
315813	319967	payroll that you're going to be running for the night?
